uidplot,PH_CACL2,CLASS_FIELD_FWSST,BAHA,DISP,FICA4,ILVO,IPSA,JURO,KOVI,LYLI2,MOCE2,OSRE,PAVI2,PHAU7,QUVI,SALA,SADE10,BORO5,SMRO,SOSE,SPPA,TORA2,PITA,TYAN,SCAM6,JUVI,SPAL,IVFR,LICA17,PLOD,SPCY,AVGE,BAMA5,BOFR,SYTE6,ACER,CLADI,CYPER,DICHA2,ELEOC,EUPAT,RUBUS,SABAL
4302,4.8,E2EM,0,3.24,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0.4,0.02,2,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
4303,5,E2EM,0,2.52,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,1.44,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4304,5.3,E2EM,0,3,0,0,0,0,0,0,1.02,0,3.22,64.02,0,0,0,0,0,0,3.04,0.02,1.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.22,0,0,0
4305,4.3,E2EM,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,20.02,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4307,5,E2EM,0,22.04,0,0,0,0,0,0,0,0,0,34.02,0,0,0,0,0,0,1.24,0,0,0,18.2,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
4315,5.3,E2EM,0.2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,48,0,0,0,0,0,0.2,4.6,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0
4316,6.8,E2EM,0,4.02,0,0,0,25.02,0,0.44,0,0,0,14.02,0,0,0,0,0,0,14,0,0,0,0.02,0,29.2,15.02,0.06,0.04,1,0,0,0,0.08,0,0,0,0,0.2,0,0,0
5491,5.1,E2EM,0,0.02,0,0,0,57,0,0,0,0,0,27,0,0,0,0,0,0,0.04,0,0,0,0.02,0,17,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5493,3.9,E2EM,0.4,20,0,0,0,0.2,0,0.8,0,0,0,37.4,0,0,0,10.2,0,0.2,48,0.4,0.4,0.2,0,0.2,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5494,5.4,E2EM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5496,5.2,E2EM,0,20.24,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,77.2,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5497,4.9,E2EM,11.02,16.2,0,0,0,0,0,0,1,0,0.02,4.2,0,0,0,0.04,0,0,77,0.02,0,0,0,0,0,7,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
5498,4,E2EM,0.22,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,17,10,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5499,4.7,E2EM,1.22,0,0,0,0,0,0,0,5.04,0,0,87,0,0,0,0,0,0,0,14,2.4,0,0,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
5500,4.2,E2EM,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,30,0,0,0,0,0,66.8,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5501,5.5,E2EM,0.6,0,0,0,0,0,0,0,0,0,0.2,89,0,0,0,0,0,0,0,2.4,6.4,0,0,12.2,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5502,6,E2EM,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,46,0,0,0,0,0,8,3.02,0.02,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0
5822,3.9,E2EM,0,34,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,18,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5823,5.4,E2EM,13,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,13,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3624,5.6,E2EM,0,0,0,0,0,52.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
